Year,Date,Time,Type,Sex,Age,Activity,Location,Country,State,Fatal Y/N,Time_Range,Activity_clean,Activity_grouped
2012,June,11:00:00,Unprovoked,Y,6,Wading,Brunswick County,USA,North Carolina,N,Morning,wading,Wading/Standing
2012,June,14:20:00,Provoked,M,23,Fishing,Monroe County,USA,Florida,N,Afternoon,fishing,Fishing
2012,June,,Unprovoked,Y,18,Swimming,Horry County,USA,South Carolina,N,Unknown,swimming,Swimming
2012,June,,Unprovoked,M,,Swimming,Horry County,USA,South Carolina,N,Unknown,swimming,Swimming
2012,June,,Unprovoked,M,,Swimming,Horry County,USA,South Carolina,N,Unknown,swimming,Swimming
2012,June,13:20:00,Unprovoked,M,16,Swimming,Horry County,USA,South Carolina,N,Afternoon,swimming,Swimming
2012,June,,Unprovoked,Y,12,Surfing,Volusia County,USA,Florida,N,Unknown,surfing,Surfing
2012,June,19:45:00,Unprovoked,M,25,Boogie Boarding,Horry County,USA,South Carolina,N,Evening,boogie boarding,Other
2012,May,13:30:00,Unprovoked,Y,33,Wading,Dare County,USA,North Carolina,N,Afternoon,wading,Wading/Standing
2012,May,15:00:00,Unprovoked,M,22,Surfing,Duval County,USA,Florida,N,Afternoon,surfing,Surfing
2012,May,,Unknown,M,,Kayak Fishing,Oahu County,USA,Hawaii,N,Unknown,kayak fishing,Fishing
2012,May,14:30:00,Unknown,M,30,Kayaking / Fishing,San Luis Obispo County,USA,California,N,Afternoon,kayaking / fishing,Fishing
2012,May,11:30:00,Unprovoked,Y,47,Swimming,Indian River County,USA,Florida,N,Morning,swimming,Swimming
2012,May,07:20:00,Unprovoked,Y,15,Paddle boarding,Off Catalina Island,USA,California,N,Morning,paddle boarding,Paddleboarding
2012,April,19:28:00,Unprovoked,M,28,Surfing,Brevard County,USA,Florida,N,Evening,surfing,Surfing
2012,April,12:38:00,Unprovoked,M,28,Surfing,Oahu County,USA,Hawaii,N,Afternoon,surfing,Surfing
2012,March,14:00:00,Unprovoked,M,21,Surfing,Volusia County,USA,Florida,N,Afternoon,surfing,Surfing
2012,March,15:50:00,Unprovoked,M,61,Surfing,Martin County,USA,Florida,N,Afternoon,surfing,Surfing
2012,March,16:00:00,Unprovoked,Y,15,Surfing,Volusia County,USA,Florida,N,Afternoon,surfing,Surfing
2012,March,16:05:00,Unprovoked,M,17,Surfing,Volusia County,USA,Florida,N,Afternoon,surfing,Surfing
2012,March,13:00:00,Unprovoked,M,19,Kite Surfing,Brevard County,USA,Florida,N,Afternoon,kite surfing,Surfing
2012,February,14:00:00,Provoked,M,,Kite Surfing,Palm Beach County,USA,Florida,N,Afternoon,kite surfing,Surfing
2012,January,11:05:00,Unprovoked,Y,,Snorkeling,Lanai,USA,Hawaii,N,Morning,snorkeling,Diving
2012,January,,Unprovoked,M,53,Surfing,Lincoln County,USA,Oregon,N,Unknown,surfing,Surfing
2011,December,18:00:00,Unprovoked,M,,,Palm Beach County,USA,Florida,N,Evening,,Unknown
2011,December,12:30:00,Unprovoked,M,27,Surfing,Volusia County,USA,Florida,N,Afternoon,surfing,Surfing
2011,December,,Provoked,M,,Canoeing,Kauai County,USA,Hawaii,N,Unknown,canoeing,Paddleboarding
2011,December,09:00:00,Unprovoked,Y,,Surfing,Seaside Cove,USA,Oregon,N,Morning,surfing,Surfing
2011,November,,Unknown,M,,Kayaking,Pigeon Point,USA,California,N,Unknown,kayaking,Paddleboarding
2011,October,,Unprovoked,M,27,Surfing,Monterey County,USA,California,N,Unknown,surfing,Surfing
2011,October,,Unprovoked,M,41,Surfing,Lincoln County,USA,Oregon,N,Unknown,surfing,Surfing
2011,October,,Unprovoked,M,,Surfing,Cape Canaveral,USA,Florida,N,Unknown,surfing,Surfing
2011,October,,Unprovoked,M,,Surfing,Seaside,USA,Oregon,N,Unknown,surfing,Surfing
2011,October,,Unprovoked,M,,Wade fishing,Manatee County,USA,Florida,N,Unknown,wade fishing,Fishing
2011,October,,Unprovoked,M,29,,Baldwin County,USA,Alabama,N,Unknown,,Unknown
2011,September,09:50:00,Unknown,M,27,Surfing,Hatillo Beach,USA,Puerto Rico,,Morning,surfing,Surfing
2011,September,15:00:00,Unprovoked,M,21,Spearfishing,Manatee County,USA,Florida,N,Afternoon,spearfishing,Fishing
2011,September,10:00:00,Unprovoked,M,5,Jumping in the waves,Horry County,USA,South Carolina,N,Morning,jumping in the waves,Other
2011,September,15:00:00,Unknown,M,,Canoeing,Kauai County,USA,Hawaii,N,Afternoon,canoeing,Paddleboarding
2011,September,11:00:00,Unprovoked,M,25,Surfing,Volusia County,USA,Florida,N,Morning,surfing,Surfing
2011,September,12:20:00,Unprovoked,M,37,Surfing,Humboldt County,USA,California,N,Afternoon,surfing,Surfing
2011,September,13:00:00,Unprovoked,Y,,Surfing,Oahu County,USA,Hawaii,N,Afternoon,surfing,Surfing
2011,September,11:00:00,Unprovoked,M,19,Surfing,Volusia County,USA,Florida,N,Morning,surfing,Surfing
2011,August,11:00:00,Unprovoked,M,19,Surfing,Johns County,USA,Florida,N,Morning,surfing,Surfing
2011,August,19:00:00,Unprovoked,Y,39,Wade Fishing,Aransas County,USA,Texas,N,Evening,wade fishing,Fishing
2011,August,,Unprovoked,M,21,Surfing,Dare County,USA,North Carolina,N,Unknown,surfing,Surfing
2011,August,15:30:00,Unprovoked,M,10,,Brunswick County,USA,North Carolina,N,Afternoon,,Unknown
2011,August,17:00:00,Unprovoked,Y,20,Wading,New Hanover County,USA,North Carolina,N,Evening,wading,Wading/Standing
2011,August,16:00:00,Unknown,M,12,,New Hanover County,USA,North Carolina,,Afternoon,,Unknown
2011,August,,Unprovoked,M,27,Floating ,Vieques,USA,Puerto Rico,N,Unknown,floating,Other
2011,August,,Unknown,M,7,Playing in the surf,Horry County,USA,South Carolina,N,Unknown,playing in the surf,Surfing
2011,August,14:00:00,Unprovoked,M,54,Swimming,Beaufort Inlet,USA,North Carolina,N,Afternoon,swimming,Swimming
2011,July,,Unprovoked,M,,Wade Fishing,Atlantic County,USA,New Jersey,N,Unknown,wade fishing,Fishing
2011,July,17:30:00,Unprovoked,Y,6,Boogie Boarding,Hyde County,USA,North Carolina,N,Evening,boogie boarding,Other
2011,July,20:30:00,Unprovoked,M,,Surf fishing,Cameron County,USA,Texas,N,Evening,surf fishing,Surfing
2011,July,17:00:00,Unprovoked,M,12,Swimming,Calhoun County,USA,Texas,N,Evening,swimming,Swimming
2011,July,,Unprovoked,M,14,Wade Fishing,Nueces County,USA,Texas,N,Unknown,wade fishing,Fishing
2011,June,,Unprovoked,Y,10,Playing in the surf,Onslow County,USA,North Carolina,N,Unknown,playing in the surf,Surfing
2011,June,13:30:00,Unprovoked,M,,Surfing,San Diego County,USA,California,N,Afternoon,surfing,Surfing
2011,June,,Unprovoked,M,20,Jet skiing,Escambia County,USA,Florida,N,Unknown,jet skiing,Other
2011,June,14:30:00,Unprovoked,M,28,Scuba diving,Palm Beach County,USA,Florida,N,Afternoon,scuba diving,Diving
2011,June,,Unprovoked,M,28,Spearfishing,San Diego County,USA,California,N,Unknown,spearfishing,Fishing
2011,June,12:00:00,Unprovoked,M,19,Wading,Volusia County,USA,Florida,N,Afternoon,wading,Wading/Standing
2011,May,15:00:00,Unprovoked,Y,22,Standing or boogie boardin,Brazoria County,USA,Texas,N,Afternoon,standing or boogie boardin,Wading/Standing
2011,May,13:15:00,Unprovoked,Y,,Surfing,"Lyman Beach, Kailua-Kona",USA,Hawaii,N,Afternoon,surfing,Surfing
2011,May,12:00:00,Unprovoked,Y,,Paddle boarding,"Lyman Beach, Kailua-Kona",USA,Hawaii,N,Afternoon,paddle boarding,Paddleboarding
2011,May,15:30:00,Unprovoked,M,86,Body surfing,St Johns County,USA,Florida,N,Afternoon,body surfing,Surfing
2011,May,06:30:00,Unprovoked,M,37,Surfing,Volusia County,USA,Florida,N,Morning,surfing,Surfing
